"","Site","Logger","Winter","UniqueLoggerWinter","DateTime","TempC","MAST","DistEntrM","SiteType","ElevM","TPI","CHILI","PercTree","SnowDays","SWE","gwDepthM"
"1",106,"A113Z",2015,"A113Z.2015","2016-02-28 23:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"2",106,"A113Z",2015,"A113Z.2015","2016-01-06 03:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"3",106,"A113Z",2015,"A113Z.2015","2015-12-11 13:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"4",106,"A113Z",2015,"A113Z.2015","2015-12-07 07:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"5",106,"A113Z",2015,"A113Z.2015","2015-12-23 03:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"6",106,"A113Z",2015,"A113Z.2015","2016-02-10 17:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"7",106,"A113Z",2015,"A113Z.2015","2015-12-31 19:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"8",106,"A113Z",2015,"A113Z.2015","2016-02-26 21:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"9",106,"A113Z",2015,"A113Z.2015","2015-12-15 23:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"10",106,"A113Z",2015,"A113Z.2015","2016-01-11 11:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"11",106,"A113Z",2015,"A113Z.2015","2015-12-16 11:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"12",106,"A113Z",2015,"A113Z.2015","2015-12-21 21:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"13",106,"A113Z",2015,"A113Z.2015","2016-02-08 13:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"14",106,"A113Z",2015,"A113Z.2015","2015-12-09 15:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"15",106,"A113Z",2015,"A113Z.2015","2016-01-10 17:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"16",106,"A113Z",2015,"A113Z.2015","2015-12-08 15:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"17",106,"A113Z",2015,"A113Z.2015","2016-01-20 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"18",106,"A113Z",2015,"A113Z.2015","2015-12-01 19:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"19",106,"A113Z",2015,"A113Z.2015","2016-02-27 05:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"20",106,"A113Z",2015,"A113Z.2015","2015-12-29 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"21",106,"A113Z",2015,"A113Z.2015","2016-01-27 03:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"22",106,"A113Z",2015,"A113Z.2015","2015-12-27 09:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"23",106,"A113Z",2015,"A113Z.2015","2016-02-27 21:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"24",106,"A113Z",2015,"A113Z.2015","2016-02-19 17:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"25",106,"A113Z",2015,"A113Z.2015","2016-02-26 23:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"26",106,"A113Z",2015,"A113Z.2015","2015-12-06 21:29:01",8.113,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"27",106,"A113Z",2015,"A113Z.2015","2016-01-25 17:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"28",106,"A113Z",2015,"A113Z.2015","2016-01-13 13:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"29",106,"A113Z",2015,"A113Z.2015","2016-02-25 03:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"30",106,"A113Z",2015,"A113Z.2015","2016-01-02 03:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"31",106,"A113Z",2015,"A113Z.2015","2016-01-30 05:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"32",106,"A113Z",2015,"A113Z.2015","2015-12-24 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"33",106,"A113Z",2015,"A113Z.2015","2015-12-17 09:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
"34",106,"A113Z",2015,"A113Z.2015","2016-02-27 07:29:01",7.612,8.36135101318359,NA,"Mine",352,-46.4097276324468,191,66,6,1.06164455413818,20.622615814209
